id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
54334,Beau logement avec vue magnifique sur les montagne,254811,Charlotte,,Quartier 5-1,46.914,-71.19565,Entire home/apt,115,2,94,2019-08-27,0.78,1,276
138381,Bed & Breakfast La California,675584,Mary,,Sillery,46.76843,-71.26636,Private room,145,1,147,2019-12-15,1.22,2,358
198548,Fabulous view - Central - Ideal work from home,960772,Marianne,,Saint-Roch,46.81169,-71.22522,Entire home/apt,150,30,51,2019-11-12,0.43,1,252
214967,Au bord du fleuve/Beach house,1110010,Julie,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.80286,-71.21271,Private room,83,3,163,2020-02-16,1.51,1,346
268812,Apartment Old city Quebec condo,1408583,Émilie,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81023,-71.21082,Entire home/apt,40,30,77,2018-05-11,0.67,1,0
330502,Home sweet home!,1686119,Claire,,Vieux-Moulin,46.85134,-71.21403,Entire home/apt,89,3,33,2015-09-15,0.29,1,187
502417,Super location in House 1915  Walkable Old Québec,2479300,Marie-Denise,,Saint-Jean-Baptiste,46.80664,-71.22599,Entire home/apt,98,2,178,2020-02-18,1.67,6,79
517628,Entire Townhouse on Historic rue Champlain,2216595,Jennifer,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.80552,-71.20696,Entire home/apt,340,2,15,2019-12-26,0.65,1,10
562682,New-York experience in typical apartment P.Q,2479300,Marie-Denise,,Saint-Jean-Baptiste,46.80664,-71.22599,Entire home/apt,70,90,103,2020-01-01,1.76,6,79
588889,Waterfront in Quebec City,2904660,Mariane,,Lac-Saint-Charles,46.93219,-71.38034,Entire home/apt,300,7,4,2020-08-01,0.07,2,3
652744,Vintage Artistic entire 2.5 apt  Walkable to Old Q,2479300,Marie-Denise,,Saint-Jean-Baptiste,46.80664,-71.22599,Entire home/apt,65,2,122,2020-01-02,1.48,6,79
652815,Québécoise  my roomy - Québécoise la plus large,2479300,Marie-Denise,,Saint-Jean-Baptiste,46.80664,-71.22599,Private room,60,90,104,2019-10-16,0.98,6,269
652950,SUPER VIEW  on the city,2479300,Marie-Denise,,Saint-Jean-Baptiste,46.80664,-71.22599,Private room,68,90,86,2019-12-31,0.89,6,79
659635,Confortable TWIN BEDS with artistic walls,2479300,Marie-Denise,,Saint-Jean-Baptiste,46.80664,-71.22599,Private room,68,2,90,2020-02-19,0.84,6,79
